Region,Month,Fertilizer_Usage_kg,Crop_Type,Crop_Area_ha,Livestock_Cows,Livestock_Pigs,Household_Energy_kWh,Renewable_Energy_Fraction,Temperature_C,Rainfall_mm,Carbon_Emission_tCO2,Year
R0253,6,126.6,Rice,47.8,20,28,252.5,0.54,32.5,125.3,14.13,2023
R0236,6,68.0,Rice,16.0,61,152,387.6,0.48,25.5,105.1,14.89,2023
R0049,1,96.8,Barley,38.6,96,181,453.6,0.5,12.3,91.1,21.35,2019
R0059,7,170.4,Barley,28.4,18,122,102.1,0.25,23.2,33.9,13.64,2021
R0170,8,179.2,Rice,17.1,87,72,473.4,0.69,34.1,254.3,14.49,2022
R0188,2,70.6,Barley,39.9,81,194,304.6,0.7,34.6,38.0,15.39,2018
R0271,8,192.9,Rice,29.9,98,142,380.3,0.36,24.3,268.5,20.88,2021
R0190,9,99.3,Maize,34.7,61,3,442.2,0.88,31.6,55.1,6.77,2019
R0175,6,149.3,Maize,19.5,82,37,286.8,0.64,11.0,38.3,12.76,2023
R0051,5,162.8,Rice,26.7,52,19,434.0,0.71,12.4,177.6,5.27,2022
R0055,12,171.8,Rice,32.8,23,112,171.0,0.28,33.6,160.7,6.25,2021
R0244,9,191.9,Wheat,23.2,55,22,163.7,0.0,9.1,157.5,20.73,2018
R0131,12,96.9,Wheat,13.9,61,164,363.0,0.87,10.7,180.9,7.78,2018
R0135,11,178.8,Barley,48.3,33,189,448.1,0.82,17.6,100.4,17.13,2020
R0021,9,69.8,Barley,28.0,21,110,457.0,0.12,22.7,205.6,14.2,2020
R0167,1,155.8,Rice,38.0,67,135,357.5,0.37,23.1,160.7,11.61,2024
R0274,11,161.3,Rice,23.5,56,164,310.2,0.66,13.8,113.7,21.42,2019
R0089,3,151.7,Wheat,21.0,9,44,232.6,0.65,32.6,251.4,6.25,2021
R0014,9,87.8,Wheat,23.3,65,96,492.0,0.86,32.5,223.8,13.12,2021
R0242,11,181.0,Rice,23.4,7,32,227.9,0.14,16.8,130.2,7.5,2024
R0265,2,75.3,Maize,29.5,96,134,397.7,0.43,18.0,257.3,21.65,2023
R0053,12,58.0,Maize,29.5,37,21,312.8,0.1,26.1,277.7,0.76,2023
R0092,4,157.6,Barley,27.4,61,132,343.4,0.39,24.9,170.3,14.14,2024
R0264,4,121.3,Rice,11.1,27,14,257.4,0.02,16.5,80.2,2.44,2023
R0035,2,177.4,Rice,27.3,9,20,485.9,0.9,17.4,276.4,-3.32,2020
R0206,3,107.5,Barley,12.6,44,125,328.7,0.53,15.4,73.1,13.85,2021
R0081,3,75.2,Wheat,10.7,64,88,475.1,0.85,12.1,33.6,2.45,2024
R0050,1,175.5,Wheat,47.0,97,16,103.0,0.06,18.7,111.7,21.52,2021
R0002,6,132.3,Maize,32.2,66,55,329.1,0.23,25.6,223.6,10.34,2018
R0054,8,78.4,Rice,34.7,8,49,386.9,0.26,27.3,278.5,11.83,2020
R0106,12,158.1,Wheat,23.1,4,134,398.0,0.39,28.4,198.4,17.29,2022
R0260,3,126.7,Maize,45.9,9,117,462.0,0.8,16.2,286.5,10.18,2020
R0191,5,140.6,Maize,33.7,11,121,101.8,0.39,27.9,45.9,9.75,2024
R0218,1,119.1,Maize,39.6,81,49,100.1,0.2,5.2,37.0,4.69,2022
R0044,10,174.3,Wheat,21.6,57,59,288.9,0.06,19.3,189.2,18.5,2018
R0162,7,174.4,Wheat,48.2,20,124,111.7,0.08,28.8,290.5,14.32,2024
R0202,10,156.4,Rice,41.9,20,115,489.8,0.76,23.9,160.8,1.81,2019
R0270,1,65.8,Rice,43.4,64,134,188.8,0.44,19.2,34.4,13.2,2021
R0271,12,175.8,Maize,12.7,2,167,289.1,0.73,24.3,81.9,16.43,2018
R0215,11,150.7,Maize,17.2,68,172,124.5,0.68,32.2,88.5,12.29,2021
R0252,9,154.6,Wheat,17.9,88,186,308.8,0.14,22.0,114.6,26.22,2023
R0190,8,104.4,Wheat,17.2,63,87,252.0,0.14,29.0,32.2,16.15,2019
R0296,7,181.9,Rice,43.5,48,104,117.9,0.76,34.4,273.4,12.52,2019
R0213,10,158.8,Rice,6.4,71,54,234.0,0.72,26.2,164.4,13.8,2018
R0208,7,66.9,Barley,8.4,16,63,256.6,0.38,22.2,207.9,14.31,2019
R0237,5,111.2,Rice,17.3,72,192,496.0,0.08,6.1,38.8,22.18,2022
R0053,5,183.0,Wheat,14.0,31,181,183.2,0.01,16.2,35.2,17.07,2019
R0280,11,57.1,Maize,15.4,69,95,317.9,0.29,22.0,184.2,17.09,2021
R0217,5,194.2,Barley,40.9,20,167,494.9,0.01,28.9,268.4,25.67,2021
R0252,1,151.9,Rice,30.3,6,180,416.8,0.23,18.1,168.0,14.81,2024
R0188,8,144.7,Rice,5.3,6,43,497.3,0.42,33.8,265.8,3.09,2021
R0041,12,90.6,Wheat,24.3,26,190,487.3,0.12,13.2,247.1,7.16,2024
R0157,11,87.3,Barley,23.4,7,129,295.8,0.1,27.3,41.2,8.25,2021
R0015,1,191.3,Rice,10.1,72,148,378.6,0.9,17.6,76.5,6.8,2022
R0065,4,94.7,Maize,35.4,27,49,144.2,0.59,19.6,204.2,11.13,2024
R0009,9,166.3,Wheat,36.6,78,110,276.5,0.93,29.1,144.2,12.29,2020
R0129,9,109.0,Barley,37.4,65,179,423.6,0.35,13.9,101.4,17.87,2023
R0136,5,70.9,Rice,37.8,70,136,302.1,0.68,7.9,137.2,13.92,2018
R0063,4,51.6,Rice,5.0,46,98,381.1,0.2,20.6,144.7,7.96,2021
R0139,3,131.6,Barley,47.9,81,147,398.3,0.62,20.9,275.0,24.82,2019
R0081,3,196.4,Wheat,41.6,85,145,201.4,0.13,28.9,49.0,29.48,2021
R0163,12,105.4,Barley,45.7,9,83,450.3,0.0,34.0,98.3,22.04,2019
R0289,5,103.6,Barley,5.7,32,29,283.9,0.93,6.7,170.5,5.34,2023
R0261,10,101.6,Wheat,47.0,6,64,184.1,0.55,22.8,215.5,6.84,2023
R0231,1,128.1,Rice,41.4,2,23,446.2,0.93,25.4,196.6,6.07,2023
R0041,5,116.1,Maize,42.7,13,174,267.1,0.33,34.6,283.7,11.08,2019
R0028,6,182.0,Wheat,9.2,43,89,400.1,0.33,33.3,242.8,8.53,2021
R0135,7,125.8,Maize,38.2,45,105,319.2,0.4,26.4,176.0,10.53,2023
R0201,12,126.2,Rice,48.2,60,171,252.7,0.71,20.7,80.1,19.24,2022
R0268,9,70.8,Barley,35.5,35,156,424.0,0.57,9.8,146.2,7.67,2024
R0033,3,197.4,Maize,30.7,12,76,333.8,0.93,16.5,214.1,3.73,2019
R0048,2,87.5,Rice,47.6,15,67,256.2,0.03,22.6,254.6,3.3,2019
R0062,3,61.0,Rice,24.9,79,108,143.8,0.71,26.8,288.7,16.55,2021
R0216,12,149.5,Barley,32.0,4,144,458.2,0.33,24.1,189.5,4.65,2019
R0293,9,139.3,Barley,26.4,88,96,114.2,0.18,26.4,167.5,13.57,2019
R0099,12,112.3,Rice,47.0,37,132,445.3,0.51,17.9,25.0,18.62,2023
R0172,7,113.3,Rice,8.4,49,91,244.0,0.51,26.8,40.2,16.74,2021
R0214,9,167.8,Maize,27.6,37,87,355.7,0.14,9.3,63.7,16.72,2023
R0035,2,79.4,Rice,35.9,55,49,468.9,0.2,9.9,35.3,14.59,2024
R0227,5,173.0,Rice,40.6,62,102,160.7,0.41,9.9,132.2,13.77,2024
R0101,4,147.3,Maize,31.2,47,111,326.8,0.41,31.7,114.3,10.14,2023
R0131,2,112.8,Wheat,45.9,89,167,405.8,0.32,7.3,198.5,20.15,2024
R0257,9,118.7,Maize,47.4,58,45,403.0,0.15,29.0,170.0,7.44,2021
R0005,9,88.5,Maize,7.9,76,178,310.3,0.0,12.0,186.9,23.03,2018
R0218,6,162.8,Barley,23.1,43,10,349.9,0.97,19.1,152.2,2.77,2023
R0255,11,126.9,Maize,6.1,89,11,403.0,0.94,32.5,97.8,0.29,2022
R0283,6,98.1,Rice,19.8,54,140,436.4,0.48,22.6,286.8,21.28,2022
R0207,8,139.4,Rice,29.2,54,63,404.7,1.0,11.3,44.2,7.74,2019
R0015,6,199.4,Rice,46.0,0,7,241.6,0.67,13.5,282.9,7.66,2024
R0042,1,115.3,Wheat,43.1,7,192,498.7,0.07,32.6,107.1,16.26,2022
R0179,4,188.1,Rice,10.7,3,8,273.8,0.12,17.8,163.5,6.74,2019
R0063,7,101.8,Wheat,9.2,84,129,109.8,0.92,22.6,50.5,18.55,2018
R0231,2,58.2,Rice,31.5,85,77,245.0,0.63,18.8,39.9,13.67,2021
R0241,9,80.6,Maize,28.9,52,140,151.1,0.84,16.4,140.3,20.97,2021
R0052,8,112.8,Barley,17.0,57,1,148.6,0.9,11.7,227.7,5.31,2021
R0096,8,82.9,Rice,45.5,36,195,212.6,0.45,25.6,95.4,14.02,2022
R0222,7,50.0,Wheat,46.7,48,175,121.4,0.05,26.5,177.5,21.09,2018
R0231,4,187.3,Wheat,23.1,66,73,375.4,0.19,13.2,98.0,10.44,2022
R0237,2,176.6,Barley,45.1,18,130,129.6,0.07,28.7,128.8,19.73,2024
R0143,3,161.3,Rice,22.3,0,195,181.3,0.19,30.6,273.8,8.37,2022
R0171,12,75.2,Maize,38.2,28,133,137.2,0.41,32.6,259.6,15.74,2018
R0029,6,68.1,Rice,26.4,86,86,125.3,0.12,9.8,164.5,13.14,2018
R0036,12,60.1,Rice,10.5,32,4,207.1,0.17,14.1,86.7,8.52,2024
R0013,12,158.6,Barley,46.8,51,130,328.8,0.45,30.8,74.1,20.5,2018
R0160,5,189.3,Rice,25.4,40,137,485.9,0.34,11.0,287.1,16.58,2018
R0187,12,114.6,Maize,38.1,22,170,450.2,0.47,5.1,76.8,7.05,2021
R0243,8,67.9,Wheat,21.5,4,146,450.4,0.43,31.1,246.3,4.34,2024
R0086,6,126.9,Barley,5.8,70,13,170.4,0.64,14.8,123.3,5.27,2020
R0284,6,102.3,Maize,9.5,56,148,206.0,0.94,17.4,296.0,2.3,2020
R0066,1,106.2,Wheat,27.3,5,123,130.6,0.11,18.4,123.1,16.65,2018
R0170,4,143.2,Barley,36.0,48,42,411.4,0.1,30.4,118.4,14.99,2020
R0045,5,157.8,Barley,20.1,21,27,127.9,0.85,15.1,198.5,-0.05,2020
R0062,12,66.6,Wheat,36.3,76,148,322.7,0.51,31.8,289.2,23.72,2018
R0134,11,55.3,Wheat,36.4,75,163,199.2,0.77,23.5,293.3,12.46,2020
R0284,3,199.1,Maize,36.7,3,23,197.4,0.22,20.8,218.0,9.19,2022
R0028,9,84.9,Rice,27.2,71,181,496.3,0.83,14.8,231.3,7.69,2019
R0108,1,58.1,Rice,46.2,63,165,402.7,0.92,12.3,177.8,0.84,2024
R0044,6,78.5,Rice,27.0,36,16,434.8,0.64,23.7,231.6,-3.5,2019
R0286,6,55.8,Rice,25.3,30,149,328.8,0.11,18.4,260.7,12.79,2018
R0128,10,108.8,Rice,14.0,36,82,448.4,0.9,32.3,156.1,7.44,2021
R0231,5,170.4,Maize,18.8,44,44,358.2,0.79,19.7,193.6,7.77,2024
R0190,12,101.2,Barley,6.9,89,73,478.5,0.75,20.4,170.4,9.64,2018
R0225,5,116.6,Maize,33.5,7,188,212.5,0.04,17.5,177.5,5.93,2021
R0283,10,151.3,Maize,16.2,39,138,338.1,0.8,28.7,269.2,16.25,2019
R0121,5,126.3,Maize,18.7,96,60,376.1,0.14,17.7,119.6,19.36,2018
R0116,6,179.2,Barley,39.7,92,37,257.2,0.22,13.1,78.3,16.9,2024
R0233,8,179.9,Maize,19.7,4,65,451.9,0.58,30.9,147.8,10.55,2024
R0259,2,51.5,Maize,15.9,27,32,491.9,0.26,22.9,78.3,13.44,2023
R0198,6,166.7,Barley,12.6,80,42,297.5,0.66,22.7,159.6,16.92,2022
R0137,1,119.1,Maize,39.9,86,158,256.3,0.61,23.3,273.0,17.51,2020
R0165,4,198.3,Rice,10.8,8,111,288.8,0.11,26.6,192.9,7.77,2021
R0225,10,122.5,Wheat,25.4,1,34,441.1,0.66,14.4,259.5,6.14,2023
R0234,3,198.0,Maize,27.8,62,36,358.2,0.92,6.0,66.5,0.22,2020
R0172,9,163.2,Wheat,35.9,95,174,117.9,0.16,29.3,272.2,33.61,2020
R0152,3,87.3,Maize,33.5,50,99,316.9,0.6,8.9,188.5,10.98,2018
R0160,6,130.8,Maize,41.5,30,22,106.9,0.34,26.7,28.9,3.47,2020
R0096,1,198.8,Rice,7.0,6,163,411.4,0.46,7.5,197.3,5.35,2022
R0233,12,178.6,Barley,18.3,29,167,231.3,0.29,16.3,286.4,9.65,2024
R0180,6,64.6,Wheat,17.6,57,88,288.8,0.35,6.9,42.2,12.83,2023
R0113,4,156.0,Barley,11.6,2,14,419.5,0.03,20.7,183.1,8.39,2020
R0052,8,101.8,Rice,18.0,50,164,118.6,0.98,24.6,276.3,7.66,2018
R0268,11,51.0,Rice,18.9,55,131,163.4,0.62,10.1,22.7,10.83,2022
R0295,9,110.5,Wheat,28.5,72,149,259.2,0.5,16.1,196.7,10.15,2019
R0113,4,85.2,Barley,34.9,9,21,192.0,0.38,32.9,153.0,8.08,2024
R0101,10,172.8,Rice,22.1,60,77,235.2,0.54,18.3,117.2,12.68,2024
R0113,12,100.6,Maize,37.4,49,144,499.3,0.38,29.1,195.7,13.39,2023
R0081,10,174.1,Maize,20.1,46,71,430.2,0.36,32.8,34.8,5.85,2024
R0187,6,50.1,Maize,18.1,89,97,453.6,0.46,34.2,230.9,12.43,2020
R0113,1,96.2,Barley,29.4,0,89,474.8,0.28,31.9,21.3,6.53,2018
R0002,4,86.2,Maize,6.1,93,108,236.4,0.18,14.5,105.9,19.41,2024
R0130,7,85.0,Maize,8.6,56,93,218.8,0.56,33.9,161.1,11.73,2024
R0220,12,60.2,Rice,23.8,37,79,193.6,0.84,29.4,125.6,11.06,2019
R0054,1,78.1,Rice,47.4,61,93,432.0,0.15,30.1,106.1,14.64,2019
R0224,8,133.3,Maize,37.5,78,79,371.8,0.03,5.5,252.6,10.37,2021
R0225,12,93.7,Maize,9.0,88,37,194.5,0.25,33.6,281.8,18.42,2022
R0126,10,112.6,Rice,43.1,69,151,250.8,0.98,28.3,264.6,9.31,2020
R0130,12,106.5,Wheat,38.0,81,133,302.7,0.83,28.0,166.3,8.74,2024
R0053,11,181.4,Barley,32.5,64,195,311.3,0.6,7.4,267.6,18.7,2024
R0172,6,185.8,Barley,41.9,61,133,455.5,0.93,12.0,277.8,11.92,2018
R0218,5,123.9,Rice,23.2,55,25,252.2,0.45,33.9,134.6,6.85,2021
R0160,10,99.5,Barley,15.0,66,100,463.4,0.98,20.0,99.4,2.66,2022
R0198,11,66.0,Rice,28.0,16,168,276.5,0.3,16.9,47.5,11.04,2021
R0247,9,193.0,Rice,29.7,7,74,398.5,0.24,30.2,154.1,17.94,2023
R0203,2,59.0,Rice,29.2,59,37,472.1,0.64,7.6,285.0,6.03,2022
R0184,5,94.6,Rice,30.4,39,82,463.0,0.38,17.5,177.1,5.92,2024
R0123,6,94.7,Wheat,47.7,80,170,122.8,0.63,16.3,206.9,14.9,2024
R0255,7,98.1,Maize,45.6,88,180,182.3,0.3,15.5,51.6,20.97,2022
R0294,5,74.6,Maize,44.4,61,142,290.8,0.62,14.2,60.2,15.6,2024
R0280,9,167.5,Wheat,41.1,40,55,272.6,0.28,11.3,150.1,15.01,2020
R0098,1,68.4,Barley,47.5,11,104,356.4,0.05,10.2,286.4,13.69,2022
R0198,7,145.2,Barley,9.4,92,183,477.9,0.91,24.2,121.0,9.25,2021
R0240,10,68.6,Maize,16.9,88,30,145.0,0.88,32.6,265.7,8.02,2022
R0144,7,60.6,Barley,27.3,99,184,280.7,0.97,20.3,53.7,19.99,2024
R0097,4,186.4,Maize,43.1,53,178,177.0,0.72,13.9,192.8,12.3,2020
R0201,9,78.5,Maize,27.7,88,151,457.6,0.68,9.8,188.2,12.22,2020
R0124,12,173.2,Wheat,38.7,92,57,485.8,0.56,29.9,260.8,17.13,2023
R0187,11,131.7,Barley,11.3,10,72,291.5,0.13,34.1,20.9,13.95,2021
R0259,5,61.7,Wheat,16.4,59,131,141.6,0.19,15.5,73.2,14.15,2019
R0148,4,193.3,Maize,37.9,67,9,414.1,0.29,13.7,81.5,11.39,2019
R0252,7,87.0,Maize,12.4,77,190,378.9,0.89,23.0,286.0,6.62,2022
R0147,4,178.9,Maize,20.8,45,72,241.9,0.17,28.3,63.0,16.53,2023
R0148,3,75.3,Rice,16.9,37,14,455.0,0.92,18.7,30.3,5.34,2018
R0199,9,178.1,Rice,20.7,60,97,490.3,0.52,23.9,169.6,25.53,2022
R0128,11,52.0,Rice,36.9,16,62,323.1,0.72,26.5,168.0,5.77,2023
R0039,8,126.8,Wheat,21.6,65,18,326.3,0.11,33.8,256.3,12.95,2021
R0129,1,165.4,Maize,30.0,71,112,219.0,0.27,10.0,285.7,13.33,2021
R0267,7,190.2,Barley,9.5,35,62,333.8,0.96,34.9,170.8,-4.79,2021
R0151,9,186.4,Wheat,41.2,73,115,275.9,0.27,16.8,280.4,20.25,2021
R0298,8,172.9,Wheat,21.6,6,183,220.9,0.3,26.7,223.0,26.26,2021
R0099,8,183.2,Wheat,34.2,99,20,126.9,0.2,22.2,94.1,23.14,2023
R0263,6,79.9,Barley,37.6,15,161,201.1,0.13,19.6,280.0,19.84,2023
R0252,11,92.6,Maize,14.4,13,144,179.1,0.23,25.9,206.9,12.86,2020
R0144,4,93.3,Rice,44.8,79,145,316.8,0.64,16.9,135.9,18.14,2019
R0112,8,106.6,Maize,32.7,24,80,340.7,0.46,8.8,210.5,-3.25,2024
R0060,3,109.0,Maize,24.3,3,65,343.4,0.55,19.7,132.4,8.53,2021
R0002,9,131.7,Wheat,13.2,28,178,255.3,0.12,20.7,52.0,13.73,2018
R0254,2,74.0,Wheat,47.4,55,64,268.5,0.8,11.1,221.3,5.28,2024
R0140,2,153.7,Wheat,39.0,5,42,433.7,0.78,33.1,250.7,0.2,2023
R0037,12,75.1,Rice,14.4,0,56,290.5,0.02,11.8,224.1,5.97,2018
R0160,12,96.5,Rice,20.2,38,137,495.1,0.38,17.3,84.2,9.31,2018
R0009,7,125.5,Rice,41.4,0,36,275.8,0.07,9.6,287.9,8.63,2018
R0233,12,169.5,Maize,36.3,62,175,359.8,0.79,21.1,27.1,12.43,2020
R0099,10,160.9,Wheat,39.5,56,119,120.1,0.74,14.2,113.2,15.78,2023
R0147,4,146.8,Barley,24.9,66,68,361.3,0.9,19.7,92.8,0.6,2018
R0208,10,73.4,Maize,37.2,64,55,440.6,0.24,11.7,33.5,12.64,2021
R0131,8,132.1,Rice,22.4,64,118,477.0,0.46,6.6,133.6,8.77,2022
R0152,9,63.1,Barley,14.5,20,163,498.9,0.18,28.4,194.5,11.22,2018
R0054,7,106.6,Barley,33.5,29,158,212.9,0.37,24.2,267.1,15.09,2020
R0120,5,112.0,Wheat,48.9,95,54,330.1,0.52,15.2,297.1,7.02,2024
R0161,8,56.0,Barley,19.0,32,37,280.3,0.05,6.4,246.3,5.39,2023
R0116,4,91.1,Rice,25.7,47,14,325.5,0.71,31.0,151.2,7.67,2020
R0075,2,193.3,Wheat,35.3,21,143,163.0,0.54,10.1,222.6,6.8,2018
R0113,11,193.0,Barley,29.4,93,76,442.5,0.83,32.9,256.2,20.73,2023
R0104,12,102.8,Wheat,43.0,53,52,463.8,0.27,19.4,150.3,19.01,2022
R0254,6,56.5,Barley,39.3,3,183,279.9,0.9,15.2,239.8,5.31,2018
R0227,9,76.9,Maize,7.6,86,6,212.2,1.0,27.3,155.1,2.64,2020
R0112,1,108.8,Maize,49.9,54,184,156.3,0.92,31.3,128.2,17.53,2019
R0099,11,192.2,Rice,38.9,43,54,373.5,0.78,16.1,167.3,0.55,2021
R0153,10,71.2,Maize,43.9,88,51,224.9,0.81,17.2,209.2,1.74,2024
R0194,12,164.5,Maize,34.3,11,3,463.8,0.57,18.0,223.5,0.67,2020
R0163,7,66.3,Maize,43.5,80,42,368.4,0.19,32.7,119.9,14.51,2023
R0208,10,197.2,Barley,10.1,78,39,358.3,0.68,25.8,180.0,10.94,2018
R0169,9,107.2,Barley,20.6,73,120,323.8,0.71,12.4,274.8,9.74,2021
R0161,10,166.3,Wheat,44.4,98,29,118.3,0.99,10.5,293.4,20.84,2018
R0068,9,101.4,Barley,14.1,51,137,472.8,0.54,11.9,83.6,4.28,2023
R0289,10,144.2,Maize,8.5,92,102,351.2,0.27,12.9,74.0,12.58,2018
R0277,11,78.8,Barley,40.5,75,6,497.6,0.68,11.9,209.5,8.66,2019
R0135,3,71.9,Rice,42.6,64,163,314.9,0.98,24.8,136.1,6.2,2021
R0195,11,190.7,Wheat,12.3,64,162,384.0,0.18,8.5,26.8,14.69,2021
R0128,5,187.6,Wheat,43.4,9,166,122.5,0.33,16.6,117.1,15.75,2023
R0033,8,183.1,Barley,35.9,17,163,352.7,0.54,23.8,245.9,7.85,2024
R0176,8,143.8,Maize,28.4,46,108,405.9,0.17,13.7,243.3,15.62,2019
R0022,4,171.2,Wheat,42.4,65,19,411.4,0.02,7.0,158.5,13.36,2020
R0238,12,60.4,Rice,23.9,48,48,408.0,0.34,7.5,152.3,5.21,2018
R0158,11,100.2,Rice,13.7,71,95,190.5,0.87,8.8,182.3,0.96,2022
R0038,11,97.1,Wheat,17.8,21,58,490.2,0.04,30.1,81.4,12.84,2018
R0230,1,145.3,Maize,27.7,85,176,498.1,0.43,24.7,167.3,13.91,2018
R0051,1,103.4,Maize,28.9,25,89,130.2,0.76,6.9,23.1,7.96,2020
R0264,4,72.3,Barley,41.3,89,25,474.6,0.95,16.7,153.2,2.32,2018
R0283,6,139.5,Barley,40.6,8,35,215.8,0.99,13.4,114.1,2.09,2019
R0027,8,172.2,Wheat,31.2,20,170,375.7,0.42,22.3,209.0,13.78,2019
R0226,6,107.3,Barley,40.1,94,125,235.2,0.95,20.7,198.7,16.42,2021
R0277,12,69.8,Barley,13.6,62,42,487.1,0.04,19.4,126.6,11.02,2023
R0286,9,79.5,Barley,7.3,5,98,140.6,0.75,14.4,22.0,11.81,2024
R0097,9,85.6,Rice,44.3,13,32,299.1,0.64,9.1,90.6,-5.16,2022
R0284,2,95.0,Barley,8.4,32,99,271.2,0.25,27.3,197.3,10.02,2018
R0147,10,146.4,Wheat,16.1,70,96,230.4,0.51,31.4,40.3,18.49,2018
R0004,1,140.1,Maize,36.3,23,172,358.2,0.13,33.3,50.1,20.09,2020
R0035,2,154.4,Barley,23.4,72,44,152.4,0.87,6.8,201.2,6.33,2023
R0192,5,104.4,Maize,44.4,74,87,386.7,0.36,27.2,231.6,11.71,2019
R0049,4,173.6,Barley,18.4,86,142,492.2,0.63,26.8,110.0,10.68,2022
R0017,4,80.6,Wheat,5.5,50,94,421.8,0.16,33.4,157.1,16.78,2021
R0172,9,120.4,Rice,18.5,1,16,444.0,0.21,12.6,284.8,2.18,2019
R0220,11,170.1,Wheat,31.0,14,139,243.9,0.99,27.3,284.8,9.77,2023
R0158,8,77.0,Rice,21.9,34,21,230.0,0.75,6.6,106.1,5.53,2024
R0046,6,66.5,Barley,29.1,35,150,306.8,0.96,23.9,246.8,19.86,2021
R0006,1,182.6,Barley,44.4,91,89,118.3,0.3,15.5,186.3,21.11,2024
R0099,2,101.4,Rice,46.1,38,77,478.1,0.16,28.1,293.1,10.41,2020
R0233,6,152.6,Wheat,17.0,3,139,157.5,0.5,30.9,153.7,3.06,2020
R0037,11,53.8,Wheat,25.8,63,113,461.2,0.49,15.9,236.9,10.77,2018
R0280,2,153.5,Rice,29.7,73,67,133.4,0.17,20.8,235.1,15.26,2024
R0181,10,97.4,Barley,47.7,5,109,429.0,0.73,8.5,159.3,-5.88,2023
R0095,5,58.4,Rice,49.9,56,178,160.8,0.36,17.5,242.8,14.47,2022
R0099,5,141.5,Barley,15.6,29,124,115.3,0.19,15.8,93.1,14.69,2021
R0188,6,86.1,Rice,37.7,98,140,387.8,0.33,10.5,54.2,17.78,2019
R0116,6,108.0,Barley,22.0,73,56,212.1,0.56,31.8,139.0,16.76,2023
R0191,6,62.1,Rice,5.4,95,54,385.8,0.73,9.4,284.2,1.33,2023
R0253,2,72.1,Maize,5.4,66,81,322.0,0.48,24.1,160.2,14.33,2020
R0161,10,94.7,Barley,25.7,89,106,143.5,0.53,31.7,197.9,21.1,2024
R0256,3,63.5,Wheat,27.0,14,155,472.9,0.14,32.4,194.8,19.3,2018
R0128,6,186.6,Rice,6.0,16,101,280.9,0.91,28.8,57.1,-2.01,2018
R0018,8,50.9,Wheat,35.9,90,171,393.8,0.93,10.3,129.3,14.89,2021
R0281,12,122.6,Rice,18.2,17,146,300.4,0.68,29.5,217.9,5.89,2020
R0223,11,68.5,Wheat,30.2,18,173,341.7,0.02,13.3,292.2,9.51,2023
R0054,12,96.2,Wheat,18.5,75,110,221.1,0.54,32.7,67.0,12.41,2022
R0058,1,188.9,Rice,12.5,87,106,180.1,0.63,26.3,134.9,12.28,2020
R0174,1,74.3,Rice,23.3,68,101,317.0,0.99,28.6,46.6,12.86,2021
R0280,11,194.9,Wheat,15.5,23,2,276.1,1.0,7.6,87.9,4.12,2021
R0114,2,80.9,Wheat,29.1,90,147,256.0,0.86,22.5,125.5,9.62,2020
R0288,11,161.2,Wheat,13.9,47,24,369.0,0.06,29.6,171.4,9.22,2021
R0151,12,132.0,Barley,27.9,29,74,376.2,0.95,30.8,84.6,1.77,2020
R0127,12,182.7,Barley,12.1,14,183,118.4,0.61,5.9,83.7,13.46,2019
R0155,6,133.1,Maize,35.2,46,60,235.5,0.8,33.2,237.8,13.76,2020
R0273,9,130.2,Barley,38.9,43,122,264.7,0.41,6.3,289.5,17.79,2024
