Record_number,Study_midyear,Latitude,Longitude,Biome,Ecosystem_type,MAT,MAP,Rs_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Decade,spring_ratio,summer_ratio,autumn_ratio,winter_ratio
35.0,1992.0,46.17,-89.67,Temperate,Forest,4.2,586.0,483.0,,,,,,1990,,,,
36.0,1992.0,46.17,-89.67,Temperate,Forest,4.2,586.0,374.0,,,,,,1990,,,,
37.0,1993.0,46.17,-89.67,Temperate,Forest,4.2,586.0,505.0,,,,,,1990,,,,
38.0,1993.0,46.17,-89.67,Temperate,Forest,4.2,586.0,404.0,,,,,,1990,,,,
39.0,1991.0,42.5,-72.15,Temperate,Forest,6.0,1172.0,371.0,,,,,,1990,,,,
40.0,1985.0,38.9,-92.33,Temperate,Grassland,12.5,973.0,316.0,,,,,,1980,,,,
41.0,1985.0,38.9,-92.33,Temperate,Agriculture,12.5,973.0,330.0,,,,,,1980,,,,
44.0,1999.0,50.13,11.87,Temperate,Forest,6.0,1019.0,560.0,,,,,,1990,,,,
46.0,1997.5,50.13,11.87,Temperate,Forest,5.8,890.0,710.0,,,,,0.73,1990,,,,
60.0,1997.0,36.07,-79.1,Temperate,Forest,15.5,1140.0,956.0,,,,,,1990,,,,
61.0,1997.0,36.07,-79.1,Temperate,Forest,15.5,1140.0,1067.0,,,,,,1990,,,,
62.0,1998.0,36.07,-79.1,Temperate,Forest,15.5,1140.0,928.0,,,,,,1990,,,,
63.0,1997.0,36.07,-79.1,Temperate,Forest,15.5,1140.0,1183.0,,,,,,1990,,,,
64.0,1998.0,36.07,-79.1,Temperate,Forest,15.5,1140.0,1176.0,,,,,,1990,,,,
65.0,1995.0,-42.87,172.75,Temperate,Forest,10.8,658.0,950.0,,,,,,1990,,,,
66.0,1996.0,-42.87,172.75,Temperate,Forest,10.8,547.0,370.0,,,,,,1990,,,,
67.0,1997.0,-42.87,172.75,Temperate,Forest,10.8,640.0,440.0,,,,,,1990,,,,
68.0,1970.5,71.3,-156.67,Arctic,Shrubland,-12.6,132.0,62.0,,,,,,1970,,,,
69.0,2001.0,64.8,-147.87,Boreal,Forest,-3.3,269.0,296.0,,,,0.19,,2000,,,,0.000641891891891892
70.0,2001.0,64.8,-147.87,Boreal,Forest,-3.3,269.0,206.0,,,,0.29,,2000,,,,0.001407766990291262
71.0,2001.0,64.8,-147.87,Boreal,Forest,-3.3,269.0,192.0,,,,0.29,,2000,,,,0.0015104166666666666
72.0,1997.0,48.67,7.08,Temperate,Forest,9.2,820.0,660.0,,,,,,1990,,,,
73.0,1997.0,48.67,7.08,Temperate,Forest,9.2,820.0,660.0,,,,,,1990,,,,
74.0,1981.0,35.99,-84.29,Temperate,Forest,14.0,1500.0,529.0,,,,,,1980,,,,
75.0,1981.0,35.99,-84.29,Temperate,Forest,14.0,1500.0,483.0,,,,,,1980,,,,
76.0,1981.0,35.99,-84.29,Temperate,Forest,14.0,1500.0,492.0,,,,,,1980,,,,
78.0,1995.0,-2.98,-47.52,Tropical,Forest,25.0,1750.0,2400.0,,,,,,1990,,,,
79.0,1997.0,35.08,-85.5,Temperate,Forest,12.9,1796.0,1250.0,,,,,,1990,,,,
80.0,1997.0,35.08,-85.5,Temperate,Forest,12.9,1796.0,1240.0,,,,,,1990,,,,
81.0,1997.0,35.08,-85.5,Temperate,Forest,12.9,1796.0,1220.0,,,,,,1990,,,,
82.0,1997.0,35.08,-85.5,Temperate,Forest,12.9,1796.0,1320.0,,,,,,1990,,,,
83.0,1997.0,35.08,-85.5,Temperate,Grassland,12.9,1796.0,1000.0,,,,,,1990,,,,
84.0,1997.0,35.08,-85.5,Temperate,Grassland,12.9,1796.0,1170.0,,,,,,1990,,,,
85.0,1997.0,35.08,-85.5,Temperate,Grassland,12.9,1796.0,1030.0,,,,,,1990,,,,
86.0,1997.0,35.08,-85.5,Temperate,Grassland,12.9,1796.0,1180.0,,,,,,1990,,,,
87.0,2000.5,31.35,35.05,Mediterranean,Forest,22.0,270.0,192.0,,,,,,2000,,,,
88.0,1998.5,53.99,-105.12,Boreal,Forest,2.0,561.0,564.0,,,,,,1990,,,,
89.0,1998.5,53.99,-105.12,Boreal,Forest,2.0,561.0,319.0,,,,,,1990,,,,
90.0,1999.0,60.08,17.5,Boreal,Forest,5.5,527.0,98.0,,,,,,1990,,,,
91.0,1999.0,60.08,17.5,Boreal,Forest,5.5,527.0,149.0,,,,,,1990,,,,
92.0,1999.0,44.5,-121.52,Temperate,Forest,7.5,552.0,519.0,,,,,,1990,,,,
93.0,1999.0,44.42,-121.51,Temperate,Forest,8.1,524.0,499.0,,,,,,1990,,,,
94.0,2000.0,44.5,-121.52,Temperate,Forest,7.5,552.0,427.0,,,,,,2000,,,,
95.0,2000.0,44.42,-121.51,Temperate,Forest,8.1,524.0,597.0,,,,,,2000,,,,
96.0,2001.0,44.5,-121.52,Temperate,Forest,7.5,552.0,505.0,,,,,,2000,,,,
97.0,2001.0,44.42,-121.51,Temperate,Forest,8.1,524.0,483.0,,,,,,2000,,,,
98.0,1996.5,44.42,-121.51,Temperate,Forest,8.1,600.0,683.0,,,,,,1990,,,,
99.0,1999.0,53.99,-105.12,Boreal,Forest,1.5,405.0,592.0,,,,,,1990,,,,
100.0,1999.0,35.99,-84.29,Temperate,Forest,14.0,1400.0,753.0,,,,,,1990,,,,
101.0,1999.0,-2.58,-50.1,Tropical,Forest,26.0,2200.0,1650.0,,,,,,1990,,,,
102.0,2002.0,37.57,-76.83,Temperate,Wetland,16.9,1162.0,1135.0,,,,,,2000,,,,
103.0,1996.0,42.9,-72.3,Temperate,Forest,6.0,1172.0,840.0,,,,,,1990,,,,
104.0,1991.0,-42.22,172.25,Temperate,Forest,9.8,2000.0,650.0,,,,,,1990,,,,
105.0,1975.0,38.9,-92.33,Temperate,Grassland,12.2,1000.0,452.0,,,,,,1970,,,,
106.0,1971.0,71.3,-156.67,Arctic,Shrubland,-12.6,132.0,53.0,,,,,,1970,,,,
107.0,2000.0,64.23,19.77,Boreal,Forest,1.0,600.0,275.0,,,,,,2000,,,,
108.0,1994.0,37.4,-122.23,Temperate,Grassland,14.0,511.0,323.0,,,,,,1990,,,,
112.0,1969.0,38.95,-91.94,Temperate,Grassland,12.8,1000.0,457.0,,,,,,1960,,,,
113.0,1992.0,54.1,10.23,Temperate,Forest,8.1,575.0,1754.0,,,,,,1990,,,,
114.0,1993.0,6.38,2.13,Tropical,Forest,27.0,950.0,1610.0,,,,,,1990,,,,
115.0,1995.5,34.63,-79.2,Temperate,Forest,17.0,1210.0,1263.0,,,,,,1990,,,,
116.0,1995.5,34.63,-79.2,Temperate,Forest,17.0,1210.0,1489.0,,,,,,1990,,,,
117.0,1995.5,34.63,-79.2,Temperate,Forest,17.0,1210.0,1293.0,,,,,,1990,,,,
118.0,1995.5,34.63,-79.2,Temperate,Forest,17.0,1210.0,1576.0,,,,,,1990,,,,
119.0,1962.0,51.81,-0.36,Temperate,Agriculture,10.0,687.0,400.0,,,,,,1960,,,,
120.0,1987.0,54.8,-66.82,Boreal,Wetland,0.0,791.0,79.0,,,,,,1980,,,,
121.0,1987.0,54.8,-66.82,Boreal,Wetland,0.0,791.0,80.0,,,,,,1980,,,,
122.0,1987.0,54.8,-66.82,Boreal,Wetland,0.0,791.0,7.0,,,,,,1980,,,,
129.0,1993.0,-35.35,148.93,Temperate,Forest,13.0,791.0,987.0,,,,,,1990,,,,
130.0,1994.0,53.92,-104.69,Boreal,Forest,1.5,405.0,338.0,,,,,,1990,,,,
131.0,1994.0,53.63,-106.2,Boreal,Forest,1.5,405.0,905.0,,,,,,1990,,,,
132.0,1994.0,53.99,-105.12,Boreal,Forest,1.5,405.0,564.0,,,,,,1990,,,,
133.0,2004.0,45.59,-84.72,Temperate,Forest,5.5,817.0,675.0,,,,,,2000,,,,
134.0,2004.0,45.59,-84.72,Temperate,Forest,5.5,817.0,782.0,,,,,,2000,,,,
135.0,2004.0,45.59,-84.72,Temperate,Forest,5.5,817.0,782.0,,,,,,2000,,,,
136.0,2004.0,45.59,-84.72,Temperate,Forest,5.5,817.0,1090.0,,,,,,2000,,,,
137.0,2004.0,45.59,-84.72,Temperate,Forest,5.5,817.0,930.0,,,,,,2000,,,,
139.0,1973.5,51.7,-1.37,Temperate,Forest,9.5,650.0,128.0,,,,,,1970,,,,
140.0,1979.0,32.75,-104.39,Temperate,Desert,11.1,374.0,215.0,,,,,,1970,,,,
141.0,1980.0,34.38,132.45,Temperate,Forest,15.0,1544.0,1299.0,,,,,,1980,,,,
142.0,1980.0,34.38,132.45,Temperate,Forest,15.0,1544.0,774.0,,,,,,1980,,,,
145.0,1980.0,25.3,80.02,Tropical,Agriculture,26.0,1190.0,430.0,,,,,,1980,,,,
146.0,2003.5,48.22,-82.16,Boreal,Forest,1.5,814.0,911.0,,,,,,2000,,,,
147.0,2004.5,48.22,-82.16,Boreal,Forest,1.5,814.0,918.0,,,,,,2000,,,,
148.0,2005.5,47.58,11.64,Temperate,Forest,6.8,1563.0,525.0,,,,0.37,,2000,,,,0.0007047619047619048
149.0,2000.0,42.4,11.92,Temperate,Forest,14.0,755.0,1097.0,,,,,,2000,,,,
150.0,1997.0,32.82,130.73,Temperate,Forest,16.2,1970.0,618.0,,,,,,1990,,,,
151.0,1997.0,32.82,130.73,Temperate,Forest,16.2,1970.0,316.0,,,,,,1990,,,,
168.0,1982.5,60.17,17.63,Temperate,Agriculture,5.0,576.0,230.0,,,,,,1980,,,,
169.0,1982.5,60.17,17.63,Temperate,Agriculture,5.0,576.0,230.0,,,,,,1980,,,,
170.0,1982.5,60.17,17.63,Temperate,Agriculture,5.0,576.0,350.0,,,,,,1980,,,,
171.0,1982.5,60.17,17.63,Temperate,Agriculture,5.0,576.0,400.0,,,,,,1980,,,,
172.0,1988.0,32.13,-81.42,Temperate,Forest,19.0,1258.0,881.0,,,,,,1980,,,,
173.0,1988.0,32.13,-81.42,Temperate,Forest,19.0,1258.0,902.0,,,,,,1980,,,,
174.0,1994.0,53.63,-106.2,Boreal,Forest,0.5,406.0,905.0,,,,,,1990,,,,
175.0,1999.0,64.8,-147.87,Boreal,Forest,-3.3,269.0,580.0,,,,,1.49,1990,,,,
176.0,1998.0,64.8,-147.87,Boreal,Forest,-3.3,269.0,580.0,,,,,2.03,1990,,,,
177.0,1998.0,64.8,-147.87,Boreal,Forest,-3.3,269.0,580.0,,,,,1.15,1990,,,,
178.0,1998.0,64.8,-147.87,Boreal,Forest,-3.3,269.0,580.0,,,,,2.18,1990,,,,
179.0,1999.0,64.8,-147.87,Boreal,Forest,-3.3,269.0,580.0,,,,,2.17,1990,,,,
180.0,1999.0,64.8,-147.87,Boreal,Forest,-3.3,269.0,580.0,,,,,1.27,1990,,,,
181.0,1992.5,54.83,37.58,Temperate,Forest,5.4,670.0,380.0,,,,,,1990,,,,
182.0,1992.5,54.83,37.58,Temperate,Grassland,5.4,670.0,190.0,,,,,,1990,,,,
183.0,1992.5,54.83,37.58,Temperate,Agriculture,5.4,670.0,150.0,,,,,,1990,,,,
184.0,1992.5,54.83,37.58,Temperate,Forest,5.4,670.0,640.0,,,,,,1990,,,,
185.0,1992.5,54.83,37.58,Temperate,Grassland,5.4,670.0,475.0,,,,,,1990,,,,
186.0,1992.5,54.83,37.58,Temperate,Agriculture,5.4,670.0,175.0,,,,,,1990,,,,
187.0,1995.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,750.0,,,,,,1990,,,,
188.0,1995.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,710.0,,,,,,1990,,,,
189.0,1995.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,701.0,,,,,,1990,,,,
190.0,1995.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,670.0,,,,,,1990,,,,
191.0,1995.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,550.0,,,,,,1990,,,,
192.0,1996.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,790.0,,,,,,1990,,,,
193.0,1996.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,790.0,,,,,,1990,,,,
194.0,1996.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,750.0,,,,,,1990,,,,
195.0,1996.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,780.0,,,,,,1990,,,,
196.0,1996.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,400.0,,,,,,1990,,,,
198.0,1996.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,820.0,,,,,,1990,,,,
199.0,1996.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,740.0,,,,,,1990,,,,
200.0,1996.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,500.0,,,,,,1990,,,,
201.0,1996.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,460.0,,,,,,1990,,,,
202.0,1997.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,640.0,,,,,,1990,,,,
203.0,1997.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,630.0,,,,,,1990,,,,
204.0,1997.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,700.0,,,,,,1990,,,,
205.0,1997.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,570.0,,,,,,1990,,,,
206.0,1997.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,370.0,,,,,,1990,,,,
207.0,1997.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,800.0,,,,,,1990,,,,
208.0,1997.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,680.0,,,,,,1990,,,,
209.0,1997.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,540.0,,,,,,1990,,,,
210.0,1997.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,470.0,,,,,,1990,,,,
211.0,1997.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,370.0,,,,,,1990,,,,
212.0,1998.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,940.0,,,,,,1990,,,,
213.0,1998.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,990.0,,,,,,1990,,,,
214.0,1998.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,810.0,,,,,,1990,,,,
215.0,1998.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,710.0,,,,,,1990,,,,
216.0,1998.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,400.0,,,,,,1990,,,,
217.0,1998.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,890.0,,,,,,1990,,,,
218.0,1998.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,840.0,,,,,,1990,,,,
219.0,1998.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,680.0,,,,,,1990,,,,
220.0,1998.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,550.0,,,,,,1990,,,,
221.0,1998.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,410.0,,,,,,1990,,,,
222.0,1999.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,620.0,,,,,,1990,,,,
223.0,1999.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,440.0,,,,,,1990,,,,
224.0,1999.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,460.0,,,,,,1990,,,,
225.0,1999.0,42.53,-72.18,Temperate,Forest,8.5,1050.0,410.0,,,,,,1990,,,,
227.0,1999.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,900.0,,,,,,1990,,,,
228.0,1999.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,830.0,,,,,,1990,,,,
229.0,1999.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,660.0,,,,,,1990,,,,
230.0,1999.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,540.0,,,,,,1990,,,,
231.0,1999.0,45.2,-68.73,Temperate,Forest,5.5,1000.0,490.0,,,,,,1990,,,,
247.0,1992.0,44.8,-85.8,Temperate,Forest,7.2,810.0,487.0,,,,,,1990,,,,
248.0,1992.0,44.8,-85.8,Temperate,Forest,7.2,810.0,467.0,,,,,,1990,,,,
249.0,1992.0,44.8,-85.8,Temperate,Forest,7.2,810.0,469.0,,,,,,1990,,,,
250.0,1992.0,44.8,-85.8,Temperate,Forest,7.2,810.0,474.0,,,,,,1990,,,,
251.0,1987.0,50.11,4.25,Temperate,Forest,8.4,1000.0,1773.0,,,,,,1980,,,,
252.0,1988.0,50.11,4.25,Temperate,Forest,8.4,1000.0,1827.0,,,,,,1980,,,,
253.0,1989.0,50.11,4.25,Temperate,Forest,8.4,1000.0,2018.0,,,,,,1980,,,,
262.0,1999.0,45.8,-90.12,Temperate,Forest,4.1,800.0,867.0,,,,,,1990,,,,
263.0,1999.0,45.8,-90.12,Temperate,Forest,4.1,800.0,1097.0,,,,,,1990,,,,
264.0,1999.0,45.8,-90.12,Temperate,Forest,4.1,800.0,878.0,,,,,,1990,,,,
265.0,2000.0,45.8,-90.12,Temperate,Forest,4.1,800.0,903.0,,,,,,2000,,,,
266.0,2000.0,45.8,-90.12,Temperate,Forest,4.1,800.0,1131.0,,,,,,2000,,,,
267.0,2000.0,45.8,-90.12,Temperate,Forest,4.1,800.0,905.0,,,,,,2000,,,,
268.0,2001.0,45.8,-90.12,Temperate,Forest,4.1,800.0,970.0,,,,,,2000,,,,
269.0,2001.0,45.8,-90.12,Temperate,Forest,4.1,800.0,1194.0,,,,,,2000,,,,
270.0,2001.0,45.8,-90.12,Temperate,Forest,4.1,800.0,952.0,,,,,,2000,,,,
271.0,2002.0,45.8,-90.12,Temperate,Forest,4.1,800.0,809.0,,,,,,2000,,,,
272.0,2002.0,45.8,-90.12,Temperate,Forest,4.1,800.0,1043.0,,,,,,2000,,,,
273.0,2002.0,45.8,-90.12,Temperate,Forest,4.1,800.0,837.0,,,,,,2000,,,,
274.0,1999.0,60.75,89.38,Boreal,Forest,3.7,493.0,281.0,,,,,,1990,,,,
275.0,2000.0,60.75,89.38,Boreal,Forest,3.7,493.0,277.0,,,,,,2000,,,,
276.0,2004.5,45.37,127.53,Temperate,Forest,2.8,700.0,785.0,,,,,,2000,,,,
277.0,2004.5,45.37,127.53,Temperate,Forest,2.8,700.0,813.0,,,,,,2000,,,,
278.0,2004.5,45.37,127.53,Temperate,Forest,2.8,700.0,786.0,,,,,,2000,,,,
279.0,2004.5,45.37,127.53,Temperate,Forest,2.8,700.0,781.0,,,,,,2000,,,,
280.0,2004.5,45.37,127.53,Temperate,Forest,2.8,700.0,514.0,,,,,,2000,,,,
281.0,2004.5,45.37,127.53,Temperate,Forest,2.8,700.0,403.0,,,,,,2000,,,,
282.0,1968.0,-37.17,144.0,Mediterranean,Forest,13.8,1270.0,1230.0,,,,,,1960,,,,
283.0,1968.0,-37.17,144.0,Mediterranean,Forest,13.8,1270.0,780.0,,,,,,1960,,,,
284.0,1968.0,-37.17,144.0,Mediterranean,Forest,13.8,1270.0,920.0,,,,,,1960,,,,
285.0,1968.0,-37.17,144.0,Mediterranean,Forest,13.8,1270.0,820.0,,,,,,1960,,,,
286.0,2001.0,74.47,-20.57,Arctic,Shrubland,-10.0,150.0,25.0,,,,0.02,,2000,,,,0.0008
287.0,2000.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,787.0,,,,,,2000,,,,
288.0,2000.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,817.0,,,,,,2000,,,,
289.0,2000.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,738.0,,,,,,2000,,,,
290.0,2000.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,825.0,,,,,,2000,,,,
291.0,2001.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,700.0,,,,,,2000,,,,
292.0,2001.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,806.0,,,,,,2000,,,,
293.0,2001.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,693.0,,,,,,2000,,,,
294.0,2001.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,802.0,,,,,,2000,,,,
295.0,2002.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,800.0,,,,,,2000,,,,
296.0,2002.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,900.0,,,,,,2000,,,,
297.0,2002.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,790.0,,,,,,2000,,,,
298.0,2002.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,920.0,,,,,,2000,,,,
299.0,2003.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,825.0,,,,,,2000,,,,
300.0,2003.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,900.0,,,,,,2000,,,,
301.0,2003.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,740.0,,,,,,2000,,,,
302.0,2003.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,900.0,,,,,,2000,,,,
303.0,2004.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,850.0,,,,,,2000,,,,
304.0,2004.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,900.0,,,,,,2000,,,,
305.0,2004.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,805.0,,,,,,2000,,,,
306.0,2004.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,850.0,,,,,,2000,,,,
307.0,2005.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,875.0,,,,,,2000,,,,
308.0,2005.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,968.0,,,,,,2000,,,,
309.0,2005.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,805.0,,,,,,2000,,,,
310.0,2005.0,34.98,-97.52,Temperate,Grassland,16.3,914.0,900.0,,,,,,2000,,,,
329.0,2003.0,64.7,-148.32,Boreal,Forest,-3.5,375.0,431.0,,,,,,2000,,,,
330.0,2003.0,64.7,-148.32,Boreal,Forest,-3.5,375.0,378.0,,,,,,2000,,,,
331.0,2003.0,64.7,-148.32,Boreal,Forest,-3.5,375.0,407.0,,,,,,2000,,,,
332.0,2001.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,831.0,,,,,,2000,,,,
333.0,2002.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,727.0,,,,,,2000,,,,
334.0,2003.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,841.0,,,,,,2000,,,,
335.0,2001.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,560.0,,,,,,2000,,,,
336.0,2002.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,640.0,,,,,,2000,,,,
337.0,2003.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,660.0,,,,,,2000,,,,
338.0,2001.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,1150.0,,,,,,2000,,,,
339.0,2002.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,1140.0,,,,,,2000,,,,
340.0,2003.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,1180.0,,,,,,2000,,,,
341.0,2001.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,1500.0,,,,,,2000,,,,
342.0,2002.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,1410.0,,,,,,2000,,,,
343.0,2003.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,1280.0,,,,,,2000,,,,
344.0,2001.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,380.0,,,,,,2000,,,,
345.0,2002.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,420.0,,,,,,2000,,,,
346.0,2003.0,44.25,-122.17,Temperate,Forest,8.7,2370.0,580.0,,,,,,2000,,,,
362.0,2001.5,45.1,-123.9,Temperate,Forest,5.5,2800.0,1205.0,,,,,,2000,,,,
363.0,2001.5,45.1,-123.9,Temperate,Forest,5.5,2800.0,1086.0,,,,,,2000,,,,
364.0,2001.5,45.1,-123.9,Temperate,Forest,5.5,2800.0,1081.0,,,,,,2000,,,,
365.0,2001.5,45.1,-123.9,Temperate,Forest,5.5,2800.0,1557.0,,,,,,2000,,,,
